Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
cow,3,103.1,depression,painless lumps,loss of appetite,pneumonia
buffalo,13,104.5,painless lumps,loss of appetite,depression,lumpy virus
sheep,1,100.5,depression,painless lumps,loss of appetite,lumpy virus
cow,14,100.3,loss of appetite,swelling in limb,crackling sound,blackleg
sheep,2,103.6,painless lumps,loss of appetite,depression,pneumonia
goat,10,101.2,loss of appetite,blisters on gums,difficulty walking,foot and mouth
sheep,6,103.3,loss of appetite,depression,painless lumps,lumpy virus
goat,6,101.7,difficulty walking,blisters on tongue,loss of appetite,foot and mouth
buffalo,9,102.5,depression,painless lumps,loss of appetite,lumpy virus
goat,3,102.7,lameness,blisters on mouth,loss of appetite,foot and mouth
sheep,1,104.1,painless lumps,depression,loss of appetite,pneumonia
cow,11,103.9,depression,painless lumps,loss of appetite,lumpy virus
goat,10,100.3,chills,swelling in extremities,shortness of breath,anthrax
sheep,10,100.3,depression,swelling in limb,lameness,blackleg
sheep,1,100,difficulty walking,sores on mouth,loss of appetite,foot and mouth
sheep,6,103.1,crackling sound,lameness,depression,blackleg
sheep,7,102.3,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,11,100.5,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,15,100.3,fatigue,sweats,shortness of breath,anthrax
cow,14,102.7,shortness of breath,sweats,chills,anthrax
cow,1,103.7,depression,loss of appetite,painless lumps,lumpy virus
sheep,1,102.3,loss of appetite,painless lumps,depression,lumpy virus
cow,14,100.8,painless lumps,loss of appetite,depression,lumpy virus
sheep,2,101.9,painless lumps,loss of appetite,depression,lumpy virus
cow,7,101.9,chest discomfort,swelling in extremities,shortness of breath,anthrax
goat,6,102.9,loss of appetite,painless lumps,depression,lumpy virus
cow,12,100.3,loss of appetite,depression,painless lumps,lumpy virus
sheep,10,103.4,depression,painless lumps,loss of appetite,pneumonia
buffalo,1,101.3,shortness of breath,sweats,swelling in extremities,anthrax
sheep,5,101.3,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,2,102.7,loss of appetite,sores on hooves,lameness,foot and mouth
goat,1,101.7,chest discomfort,shortness of breath,chills,anthrax
sheep,5,101.3,fatigue,sweats,swelling in extremities,anthrax
sheep,10,102.9,loss of appetite,sores on mouth,difficulty walking,foot and mouth
buffalo,10,104.4,swelling in limb,loss of appetite,crackling sound,blackleg
